"","region","species","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT"
"1","EU-27","CO2",5490.63110074746,86395.7389641205,145670.734234856,142488.089846938,96631.2708529325,53539.3456846651,26944.2338494107,14873.7501846945,9781.45055598905,6858.03648143315,5033.71434718665,3852.05290345299,3012.975545396,2434.03977259629,2050.10589185398,2271.96241167308,607328.132627945
"2","EU-27","NOx",11.3232388288794,60.2711583987864,109.757619023868,110.237839893281,73.3897578079944,40.7244600254089,21.0295170210308,11.6779164071381,7.56194336687862,5.27198318654526,3.83550744869315,2.90727045940227,2.26146827135777,1.81655086439384,1.51726936265815,1.63381718677738,465.217317553094
"3","EU-27","SOx",2.85884210237591,25.1609099609091,79.4328486060123,100.151756977675,78.5524180023394,48.0454471085132,24.7366300672824,13.0121464337707,8.14487222006482,5.62328888455881,4.12257965101558,3.15994484704761,2.48291429855469,2.00931762928503,1.68156091090199,1.76924521602931,400.944722916336
"4","EU-27","CO",5.72808725836295,46.3549336159743,61.5266150030032,51.0620569696469,35.5432762128514,21.0123543486591,11.4377029848246,6.55336213432287,4.34908399830709,3.0661936528938,2.26942420769994,1.76441315692468,1.40537041805474,1.15939112380793,0.994131710095356,1.18390103838889,255.410297833818
"5","EU-27","CH4",0.748985305381143,10.6344850090468,8.37926805082428,6.79346139074053,4.14892174260096,2.31867143768643,1.25105849699366,0.745486333844747,0.51183274250275,0.362516631559107,0.262981823974805,0.198821399922621,0.152646483262118,0.119154209277749,0.101452286413929,0.111455298760681,36.8411986427923
"6","East Asia minus China","CO2",3082.15890066228,50236.9880161733,108270.932852817,123243.313522102,97583.4261414973,63921.5020501741,40794.7148687735,30610.1073925354,23530.4129373703,16818.2487604927,11970.156241376,8737.2083967916,6511.57355399054,5059.37252550823,4183.29226995981,4615.58324928746,599168.991679512
"7","East Asia minus China","NOx",2.26399708478015,38.397762942558,99.7052164432038,118.187503763612,94.2071177440755,61.4300288853629,38.0419508753678,28.2206789674645,21.9770918437057,15.982317990204,11.5028215383926,8.41969534757001,6.29739717662355,4.89929768096103,4.0671396443634,4.44692825304513,558.046946181291
"8","East Asia minus China","SOx",0.184120460299909,8.02952192749298,34.8482461498605,44.8480379277684,35.3703583241585,22.4205849674668,13.6555203274194,9.99766847909911,7.68793621969711,5.52856493447386,3.94692643222245,2.87644223203085,2.14879228044557,1.65805222193689,1.35004460834249,1.38990345995847,195.940720952673
"9","East Asia minus China","CO",4.2312649469137,60.0507080502421,74.9702892827937,64.3182838651367,44.9019271586808,31.8851425753263,22.9600605928404,17.6727887354525,13.4663842194277,9.81888149179125,7.30995143051738,5.67721936466127,4.47074894537365,3.72925802342271,3.27950777999007,4.66037084223797,373.402787304808
"10","East Asia minus China","CH4",0.114781871681764,5.30899339697693,3.15981166579172,2.09319405006616,1.45482385030272,0.927092337368909,0.596692094029019,0.437729425976448,0.326312637674304,0.231079433964568,0.164798271308965,0.12102196081018,0.0908710452869193,0.0714204054828711,0.059551713429714,0.0685661991921376,15.2267403593433
"11","Former USSR","CO2",2341.45439015673,75447.3528299792,182614.111196349,203172.554803062,151249.45680211,91372.0987182113,46326.0028809216,25832.013303528,16637.9028391401,11301.559136056,8223.59258168126,6301.01119069502,4941.02199722607,4039.85863543207,3432.83320291318,3957.13899909525,837189.963506556
"12","Former USSR","NOx",3.69704539836967,119.726383562472,317.659341080192,358.761913261726,262.261966192235,157.203033217526,79.5314185476096,44.1535536280659,28.4199698613816,19.3210504946766,14.0605620572115,10.7827947321295,8.45806389951881,6.91964195283284,5.87662082769914,6.74141164475727,1443.5747703584
"13","Former USSR","SOx",0.149037340595291,8.57088111603673,689.485828451081,883.75395790721,558.229326496781,317.808592431298,159.882641843473,86.5366660434124,54.9583098758871,37.4753427958224,27.1198668024716,20.8493128751958,16.3018689136834,13.2355615901834,11.0071929265319,11.0601431832277,2896.42453059289
"14","Former USSR","CO",1.39535455352801,45.213054690411,64.8091668502129,59.0712416539398,48.5033526082264,30.7512386454789,16.0758695384864,9.33689373885097,6.11077267491985,4.1257647506223,2.98579174291067,2.2621735328521,1.7593179575437,1.43177689066938,1.22321238691272,1.47708898246648,296.532071198032
"15","Former USSR","CH4",0.0462824451928108,1.57230199879538,2.76639954480521,2.82336282244119,2.1559699736962,1.31426795354657,0.669551267339492,0.377557066579632,0.244303001165446,0.165523293797867,0.120154703677951,0.0917186947689712,0.0717020869587625,0.0585675322769655,0.049902290100742,0.058817854610381,12.5863825297536
"16","Middle East","CO2",7847.02655442498,303967.395332516,443911.455874078,299414.229766681,172793.010527676,95880.7952343991,55625.0800488453,36117.8409382266,25494.5221008123,18178.4769561515,13380.3917513365,10228.0403006572,7985.95301717079,6500.23098729073,5505.63997933321,6454.84879009033,1509284.93815969
"17","Middle East","NOx",7.52725923076951,391.013070908865,618.842289799597,420.603824095411,234.826145227957,124.173472136578,70.81588741536,45.2054607671132,31.2410579435681,22.0397608444623,15.9982500723356,12.03834414166,9.30321659755553,7.48613303716271,6.27606162895297,7.16389781117337,2024.55413165852
"18","Middle East","SOx",0.392869790467877,531.56521986251,1421.48607912394,1184.30775202536,644.88483873154,297.883927276975,151.554783214023,87.4796349778384,56.5594666411469,38.8846956171415,27.1919023246135,19.6102037229778,14.7067591966783,11.2931845960682,9.13806829807045,9.44482384013984,4506.38420923949
"19","Middle East","CO",3.86439563189129,143.551680919613,185.978790670682,113.622501017167,65.2469014602782,37.7406540143672,22.7727831040676,15.2829201063359,10.9366987529433,7.82314601417952,5.78642139860377,4.44603535780677,3.48282667105389,2.85531524923602,2.42960314166849,2.87743262475888,628.698106134652
"20","Middle East","CH4",0.139875696157308,7.15231020930864,10.5836331088753,6.82314594892683,3.77396169640558,2.02910064950189,1.18465705138941,0.769583318223892,0.535000707991323,0.378456857688908,0.275537149650674,0.207944171644706,0.161259961315278,0.130486479386809,0.109837112013307,0.127161578448688,34.3819516969286
